drug,adverse_event,report_count
infliximab-dyyb,intentional product use issue,2118
human immunoglobulin g,bronchitis,2117
vedolizumab,haemorrhoids,2099
albuterol,device delivery system issue,2098
semaglutide,vomiting,2091
teduglutide,vomiting,2085
dupilumab,skin fissures,2079
dupilumab,urticaria,2078
esketamine,dissociation,2065
human immunoglobulin g,infusion related reaction,2063
human immunoglobulin g,infusion site pain,2059
idursulfase,cough,2043
human immunoglobulin g,upper respiratory tract infection,2037
dupilumab,illness,2019
infliximab-dyyb,arthralgia,2011
teduglutide,dehydration,1955
osimertinib,death,1946
dupilumab,rebound atopic dermatitis,1945
dupilumab,ocular hyperaemia,1941
human immunoglobulin g,insurance issue,1931
mepolizumab,product dose omission issue,1930
human immunoglobulin g,weight decreased,1915
omalizumab,off label use,1913
leuprolide acetate,intercepted product preparation error,1900
teduglutide,product use issue,1899
relugolix,asthenia,1896
vedolizumab,anxiety,1895
human immunoglobulin g,diarrhoea,1881
vedolizumab,dyspnoea,1878
dupilumab,injection site bruising,1869
human immunoglobulin g,pruritus,1865
relugolix,incorrect dose administered,1865
dupilumab,vision blurred,1861
omalizumab,no adverse event,1849
tirzepatide,product dose omission issue,1840
human immunoglobulin g,product use issue,1838
treprostinil,hypotension,1832
bevacizumab,off label use,1828
human immunoglobulin g,back pain,1818
copper,reproductive complication associated with device,1817
tirzepatide,off label use,1817
semaglutide,diarrhoea,1816
treprostinil,vomiting,1812
dupilumab,hypersensitivity,1810
semaglutide,constipation,1806
dupilumab,rebound eczema,1802
vedolizumab,sinusitis,1791
semaglutide,decreased appetite,1788
lenalidomide,therapy interrupted,1786
velaglucerase alfa,inappropriate schedule of product administration,1782
teduglutide,abdominal distension,1781
pimavanserin tartrate,death,1775
cenegermin-bkbj,eye pain,1770
semaglutide,impaired gastric emptying,1767
nemolizumab-ilto,product dose omission issue,1763
dupilumab,injection site pruritus,1762
finasteride,adverse drug reaction,1762
human immunoglobulin g,arthralgia,1761
human immunoglobulin g,infusion site swelling,1759
treprostinil,dyspnoea exertional,1756
dupilumab,rhinorrhoea,1733
evolocumab,drug dose omission by device,1732
vedolizumab,anal incontinence,1727
tirzepatide,injection site erythema,1711
lenalidomide,rash,1707
trofinetide,diarrhoea,1699
bimekizumab-bkzx,psoriasis,1696
human immunoglobulin g,rash,1693
dupilumab,rash pruritic,1692
esketamine,sedation,1678
vedolizumab,drug level decreased,1677
human immunoglobulin g,infusion site erythema,1674
infliximab-dyyb,inappropriate schedule of product administration,1667
budesonide\formoterol\glycopyrronium,death,1666
human immunoglobulin g,blood pressure increased,1657
.alpha.1-proteinase inhibitor human,inappropriate schedule of product administration,1652
human immunoglobulin g,vomiting,1648
medroxyprogesterone acetate,meningioma,1645
dupilumab,dizziness,1642
teduglutide,fatigue,1639
treprostinil,throat irritation,1637
metformin hydrochloride,lactic acidosis,1635
dupilumab,pyrexia,1629
idursulfase,poor venous access,1625
rituximab,intentional product use issue,1616
ustekinumab,product dose omission issue,1613
tirzepatide,injection site haemorrhage,1605
dupilumab,influenza,1604
tirzepatide,fatigue,1603
vedolizumab,hypertension,1601
belimumab,systemic lupus erythematosus,1592
vedolizumab,blood pressure decreased,1589
vedolizumab,dehydration,1587
albuterol,drug dose omission by device,1578
pembrolizumab,malignant neoplasm progression,1575
vedolizumab,lower respiratory tract infection,1566
treprostinil,infusion site pain,1560
treprostinil,asthenia,1558
human immunoglobulin g,pain in extremity,1557
relugolix,arthralgia,1552
human immunoglobulin g,respiratory tract infection,1551
abemaciclib,diarrhoea,1550
treprostinil,weight decreased,1548
dupilumab,eye irritation,1543
tofacitinib citrate,condition aggravated,1534
dupilumab,nausea,1531
vedolizumab,bronchitis,1526
dupilumab,pneumonia,1519
treprostinil,feeling abnormal,1508
durvalumab,death,1507
human immunoglobulin g\hyaluronidase (human recombinant),pneumonia,1506
dupilumab,diarrhoea,1505
vedolizumab,pain in extremity,1503
teduglutide,malaise,1498
human immunoglobulin g,asthenia,1496
"antihemophilic factor, human recombinant",fall,1489
insulin lispro,haemorrhage,1489
treprostinil,productive cough,1489
cabozantinib s-malate,off label use,1488
relugolix,diarrhoea,1488
insulin glargine,product storage error,1485
teduglutide,illness,1482
treprostinil,pain,1480
dupilumab,dermatitis,1477
human immunoglobulin g,viral infection,1474
certolizumab pegol,drug ineffective,1470
teduglutide,pyrexia,1469
dupilumab,rash macular,1468
semaglutide,wrong technique in product usage process,1464
dupilumab,impaired quality of life,1458
mycophenolate mofetil,off label use,1456
levonorgestrel,device expulsion,1455
vedolizumab,clostridium difficile infection,1454
certolizumab pegol,off label use,1452
teduglutide,covid-19,1451
idursulfase,malaise,1438
teduglutide,inappropriate schedule of product administration,1436
adalimumab,drug ineffective,1433
dupilumab,pain in extremity,1429
human immunoglobulin g,dizziness,1429
idursulfase,covid-19,1428
estradiol,product adhesion issue,1412
teduglutide,abdominal pain upper,1412
ponatinib,product dose omission issue,1411
treprostinil,off label use,1404
copper,pain,1403
teduglutide,flatulence,1401
human immunoglobulin g\hyaluronidase (human recombinant),infusion site erythema,1399
human immunoglobulin g\hyaluronidase (human recombinant),covid-19,1398
human immunoglobulin g,ear infection,1396
human immunoglobulin g\hyaluronidase (human recombinant),sinusitis,1394
nemolizumab-ilto,inappropriate schedule of product administration,1393
certolizumab pegol,product dose omission issue,1389
somatropin,device issue,1387
teduglutide,pain,1385
idursulfase,nasopharyngitis,1379
budesonide\formoterol\glycopyrrolate,device delivery system issue,1375
dupilumab,sinusitis,1373
clozapine,neutropenia,1371
human immunoglobulin g,multiple allergies,1370
treprostinil,pain in extremity,1369
somatropin,device physical property issue,1367
vedolizumab,weight increased,1363
treprostinil,decreased appetite,1360
human immunoglobulin g\hyaluronidase (human recombinant),fatigue,1359
golimumab,product dose omission issue,1358
insulin lispro,blood glucose increased,1356
vedolizumab,dyspepsia,1351
human immunoglobulin g,seasonal allergy,1341
infliximab,intentional product use issue,1341
dupilumab,neurodermatitis,1328
teduglutide,nasopharyngitis,1326
dupilumab,myalgia,1325
idursulfase,weight increased,1324
ruxolitinib,fatigue,1322
rituximab-pvvr,off label use,1321
.alpha.1-proteinase inhibitor human,dyspnoea,1320
somatropin,device use error,1316
human immunoglobulin g,migraine,1315
palbociclib,fatigue,1314
relugolix,product dose omission issue,1312
belimumab,product dose omission issue,1309
tirzepatide,injection site bruising,1304
vedolizumab,anal fissure,1302
treprostinil,pneumonia,1301
vedolizumab,loss of therapeutic response,1297
treprostinil,chest pain,1294
human immunoglobulin g\hyaluronidase (human recombinant),malaise,1293
nemolizumab-ilto,device malfunction,1290
teduglutide,abnormal faeces,1283
dupilumab,wheezing,1281
human immunoglobulin g,urticaria,1277
idursulfase,dyspnoea,1276
galcanezumab-gnlm,injection site pain,1275
teduglutide,weight fluctuation,1274
albuterol sulfate,device deposit issue,1265
human immunoglobulin g,infusion site pruritus,1264
mepolizumab,asthma,1264
tirzepatide,abdominal pain upper,1259
human immunoglobulin g,contusion,1258
velaglucerase alfa,product dose omission issue,1258
lenalidomide,constipation,1257
dupilumab,dysphagia,1255
semaglutide,product use in unapproved indication,1253
vedolizumab,rhinorrhoea,1253
dupilumab,discomfort,1252
clozapine,hospitalisation,1251
tofacitinib citrate,pain,1249
dupilumab,injection site reaction,1248
pomalidomide,fatigue,1242
infliximab,condition aggravated,1241
vedolizumab,heart rate decreased,1241
"antihemophilic factor, human recombinant",joint injury,1240
dupilumab,product preparation error,1239
treprostinil,arthralgia,1239
dupilumab,oropharyngeal pain,1236
vedolizumab,product availability issue,1234
abatacept,rheumatoid arthritis,1232
adalimumab,off label use,1229
dupilumab,covid-19,1229
vedolizumab,nasal congestion,1225
prednisone,off label use,1221
vedolizumab,myalgia,1220
acetaminophen,foetal exposure during pregnancy,1219
human immunoglobulin g,oropharyngeal pain,1217
human immunoglobulin g,asthma,1216
risankizumab-rzaa,psoriasis,1214
somatropin,wrong technique in device usage process,1214
mepolizumab,off label use,1213
abaloparatide,headache,1208
vedolizumab,arthritis,1206
treprostinil,seasonal allergy,1205
cannabidiol,hospitalisation,1204
tirzepatide,therapeutic response changed,1204
tirzepatide,weight increased,1204
bimekizumab-bkzx,drug ineffective,1203
cannabidiol,seizure,1198
human immunoglobulin g\hyaluronidase (human recombinant),product dose omission issue,1197
dulaglutide,nausea,1196
tirzepatide,abdominal pain,1196
fenfluramine,tricuspid valve incompetence,1193
"antihemophilic factor, human recombinant",limb injury,1183
copper,emotional distress,1181
lanadelumab,product dose omission issue,1181
lenalidomide,death,1181
palbociclib,white blood cell count decreased,1180
budesonide\formoterol\glycopyrrolate,product dose omission issue,1178
human immunoglobulin g,weight increased,1178
vedolizumab,influenza like illness,1175
"antihemophilic factor, human recombinant",arthralgia,1174
teduglutide,asthenia,1174
treprostinil,malaise,1174
human immunoglobulin g\hyaluronidase (human recombinant),headache,1173
acetaminophen,overdose,1171
idursulfase,incorrect dose administered,1171
bimekizumab-bkzx,hidradenitis,1169
sarilumab,arthralgia,1169
treprostinil,oropharyngeal pain,1168
dupilumab,skin haemorrhage,1165
dupilumab,weight increased,1164
methotrexate,drug ineffective,1161
abatacept,pain,1158
tirzepatide,headache,1157
acetaminophen,autism spectrum disorder,1156
vedolizumab,anaemia,1155
dulaglutide,vomiting,1154
vedolizumab,chills,1154
.alpha.1-proteinase inhibitor human,pneumonia,1152
relugolix,dizziness,1148
teduglutide,muscle spasms,1148
clozapine,death,1146
treprostinil,abdominal discomfort,1145
icatibant acetate,weight increased,1144
.alpha.1-proteinase inhibitor human,blood pressure increased,1143
semaglutide,weight decreased,1142
cyclosporine,eye irritation,1139
copper,embedded device,1135
dupilumab,intentional dose omission,1134
insulin glargine,blood glucose increased,1131
somatropin,device defective,1129
dupilumab,injection site urticaria,1128
icatibant acetate,weight decreased,1128
tirzepatide,accidental overdose,1128
icatibant acetate,product use issue,1125
adalimumab,arthralgia,1124
dupilumab,back pain,1122
lanadelumab,weight decreased,1120
human immunoglobulin g,chills,1119
human immunoglobulin g\hyaluronidase (human recombinant),infusion site pain,1119
human immunoglobulin g,productive cough,1116
somatropin,device delivery system issue,1116
adalimumab,pain,1113
vedolizumab,peripheral swelling,1109
tirzepatide,injection site reaction,1108
dupilumab,nasal polyps,1106
vedolizumab,gastrointestinal inflammation,1105
dupilumab,eosinophilic oesophagitis,1100
semaglutide,weight increased,1100
treprostinil,peripheral swelling,1098
diclofenac sodium,product use in unapproved indication,1095
dupilumab,injection site rash,1095
human immunoglobulin g,feeling abnormal,1094
rituximab,pneumonia,1093
dupilumab,insomnia,1090
human immunoglobulin g,gastrointestinal disorder,1090
venetoclax,death,1088
acetaminophen,intentional overdose,1087
levonorgestrel,device dislocation,1087
semaglutide,inappropriate schedule of product administration,1087
teduglutide,stoma complication,1087
vedolizumab,colitis,1084
vedolizumab,faeces discoloured,1084
leuprolide acetate,death,1081
teduglutide,abdominal discomfort,1081
idursulfase,diarrhoea,1080
vedolizumab,chest pain,1078
vedolizumab,oxygen saturation decreased,1075
human immunoglobulin g\hyaluronidase (human recombinant),infusion site swelling,1074
pimavanserin tartrate,drug ineffective,1073
vedolizumab,gastrooesophageal reflux disease,1073
teduglutide,incorrect dose administered,1071
treprostinil,epistaxis,1065
velaglucerase alfa,fatigue,1064
human immunoglobulin g,infusion site discharge,1062
calcium oxybate\magnesium oxybate\potassium oxybate\sodium oxybate,surgery,1060
human immunoglobulin g\hyaluronidase (human recombinant),pyrexia,1060
dupilumab,skin swelling,1059
dupilumab,productive cough,1058
human immunoglobulin g,arthritis,1057
teduglutide,peripheral swelling,1056
vedolizumab,infection,1056
lanadelumab,weight increased,1055
human immunoglobulin g,infusion site haemorrhage,1053
idursulfase,vomiting,1053
secukinumab,accidental exposure to product,1051
methotrexate,off label use,1050
cyclosporine,drug ineffective,1045
vedolizumab,pruritus,1045
human immunoglobulin g,drug hypersensitivity,1044
omalizumab,asthma,1041
vedolizumab,gastrointestinal disorder,1041
somatropin,incorrect dose administered by device,1038
vedolizumab,insomnia,1038
human immunoglobulin g,dermatitis contact,1037
tirzepatide,dizziness,1037
semaglutide,abdominal pain upper,1036
tirzepatide,eructation,1031
"antihemophilic factor, human recombinant",muscle haemorrhage,1030
human immunoglobulin g,incorrect dose administered,1025
dupilumab,peripheral swelling,1024
emtricitabine\tenofovir disoproxil fumarate,bone density decreased,1020
tirzepatide,alopecia,1020
upadacitinib,arthralgia,1020
dupilumab,stress,1016
idursulfase,fatigue,1013
lenalidomide,white blood cell count decreased,1012
treprostinil,product dose omission issue,1012
vedolizumab,drug effect less than expected,1012
vedolizumab,mouth ulceration,1010
certolizumab pegol,maternal exposure during pregnancy,1009
certolizumab pegol,psoriatic arthropathy,1009
dupilumab,malaise,1009
dupilumab,vomiting,1006
tirzepatide,illness,1006
treprostinil,device issue,1006
dulaglutide,impaired gastric emptying,1000
certolizumab pegol,therapy interrupted,999
relugolix,constipation,999
icatibant acetate,treatment noncompliance,997
ramipril,recalled product administered,997
treprostinil,flushing,997
human immunoglobulin g,infusion site bruising,996
ofatumumab,fatigue,996
vedolizumab,migraine,993
human immunoglobulin g,peripheral swelling,992
abaloparatide,dizziness,989
velaglucerase alfa,weight increased,989
velaglucerase alfa,bone pain,984
infliximab,overdose,982
teduglutide,frequent bowel movements,982
clozapine,off label use,981
dupilumab,conjunctivitis,979
human immunoglobulin g,erythema,977
teduglutide,urinary tract infection,975
vedolizumab,gastrointestinal infection,974
"antihemophilic factor, human recombinant",contusion,972
ramipril,no adverse event,970
vedolizumab,fistula,967
guselkumab,device deployment issue,966
treprostinil,chest discomfort,963
omalizumab,pruritus,962
sarilumab,pain,962
treprostinil,nasopharyngitis,957
teduglutide,pneumonia,956
albuterol sulfate,wrong technique in device usage process,955
leuprolide acetate,syringe issue,954
tirzepatide,injection site pruritus,954
.alpha.1-proteinase inhibitor human,cough,953
certolizumab pegol,ankylosing spondylitis,952
vedolizumab,gastroenteritis,952
idursulfase,influenza,951
tirzepatide,dyspepsia,950
treprostinil,fluid retention,950
leuprolide acetate,device leakage,949
dupilumab,skin irritation,948
guselkumab,accidental exposure to product,946
copper,anxiety,943
omalizumab,drug ineffective,942
treprostinil,inappropriate schedule of product administration,942
idursulfase,ear infection,941
risankizumab-rzaa,arthralgia,940
dupilumab,chest discomfort,939
dupilumab,sleep disorder,937
ethinyl estradiol\norelgestromin,product adhesion issue,936
prednisone,drug ineffective,935
budesonide\formoterol\glycopyrrolate,dyspnoea,934
diclofenac sodium,drug effective for unapproved indication,934
vedolizumab,large intestine polyp,933
budesonide\formoterol\glycopyrrolate,wrong technique in device usage process,932
vedolizumab,productive cough,932
pimavanserin tartrate,product use issue,931
lenalidomide,neuropathy peripheral,929
metformin hydrochloride,acute kidney injury,929
velaglucerase alfa,nausea,928
human immunoglobulin g,incorrect drug administration rate,927
infliximab-dyyb,fatigue,926
golimumab,device issue,924
upadacitinib,pain,922
velaglucerase alfa,covid-19,921
treprostinil,infusion site erythema,916
risankizumab-rzaa,device issue,913
human immunoglobulin g,lower respiratory tract infection,911
leuprolide acetate,hot flush,911
vedolizumab,diverticulitis,911
treprostinil,fall,910
lenalidomide,pneumonia,908
pimavanserin tartrate,product dose omission issue,907
dupilumab,drug hypersensitivity,906
vedolizumab,feeling abnormal,905
bimekizumab-bkzx,off label use,903
certolizumab pegol,inappropriate schedule of product administration,902
icatibant acetate,stress,901
relugolix,pain,901
teduglutide,constipation,901
treprostinil,abdominal pain upper,899
leuprolide acetate,injection site pain,896
teduglutide,sepsis,896
levetiracetam,drug ineffective,895
velaglucerase alfa,blood pressure increased,894
ruxolitinib,product dose omission issue,893
tirzepatide,blood glucose increased,891
vedolizumab,nephrolithiasis,891
vedolizumab,rash,891
human immunoglobulin g\hyaluronidase (human recombinant),nasopharyngitis,890
adalimumab,fatigue,886
relugolix,weight increased,886
tirzepatide,decreased appetite,886
abaloparatide,nausea,884
idursulfase,pain,884
dupilumab,oral herpes,883
fentanyl,drug abuse,882
relugolix,therapy interrupted,882
velaglucerase alfa,abdominal pain,882
nintedanib,nausea,881
omalizumab,dyspnoea,881
risankizumab-rzaa,pain,879
vedolizumab,maternal exposure during breast feeding,879
lenalidomide,nausea,876
.alpha.1-proteinase inhibitor human,product dose omission issue,875
abaloparatide,fatigue,875
teduglutide,insurance issue,875
dupilumab,fall,874
cenobamate,seizure,873
idursulfase,product availability issue,872
acetaminophen,drug ineffective,869
infliximab,crohn's disease,869
tofacitinib citrate,drug ineffective,869
idursulfase,rhinorrhoea,868
icatibant acetate,product dose omission issue,867
vedolizumab,intestinal stenosis,866
dupilumab,chronic obstructive pulmonary disease,864
idursulfase,weight decreased,864
human immunoglobulin g,gastroenteritis viral,862
human immunoglobulin g\hyaluronidase (human recombinant),incorrect dose administered,862
relugolix,insomnia,862
vedolizumab,abnormal faeces,862
idursulfase,productive cough,861
vedolizumab,haemoglobin decreased,860
trofinetide,underdose,858
ocrelizumab,fatigue,857
semaglutide,dehydration,857
teduglutide,influenza,857
.alpha.1-proteinase inhibitor human,oxygen saturation decreased,855
tacrolimus,off label use,854
risankizumab-rzaa,crohn's disease,852
dupilumab,alopecia,851
bimekizumab,psoriatic arthropathy,850
dupilumab,intentional product misuse,845
ponatinib,off label use,842
bimekizumab-bkzx,product availability issue,838
dupilumab,scratch,838
teduglutide,fall,837
icatibant acetate,malaise,835
teduglutide,cough,835
human immunoglobulin g\hyaluronidase (human recombinant),infection,834
evolocumab,injection site pain,833
dupilumab,visual impairment,832
idursulfase,heart rate increased,832
oxycodone hydrochloride,drug dependence,832
cabozantinib s-malate,diarrhoea,831
dupilumab,infection,829
rituximab,fatigue,828
dupilumab,psoriasis,827
tocilizumab,off label use,827
dupilumab,lacrimation increased,826
risankizumab-rzaa,surgery,826
teduglutide,gastrointestinal disorder,826
human immunoglobulin g,drug ineffective,825
icatibant acetate,inappropriate schedule of product administration,825
tofacitinib citrate,illness,825
sarilumab,drug ineffective,821
lanadelumab,inappropriate schedule of product administration,820
dinutuximab,pyrexia,819
apixaban,death,818
treprostinil,anxiety,818
human immunoglobulin g,limb injury,816
risankizumab-rzaa,fall,814
treprostinil,oedema peripheral,813
ethinyl estradiol\norelgestromin,no adverse event,812
human immunoglobulin g,sinus disorder,812
nemolizumab-ilto,incorrect dose administered,812
relugolix,myalgia,811
cenobamate,product dose omission issue,809
dulaglutide,abdominal pain,806
human immunoglobulin g\hyaluronidase (human recombinant),nausea,806
dupilumab,blister,805
dupilumab,abdominal pain upper,803
dupilumab,skin discolouration,803
human immunoglobulin g,anxiety,802
human immunoglobulin g\hyaluronidase (human recombinant),weight increased,802
ofatumumab,headache,802
tofacitinib citrate,off label use,801
infliximab-dyyb,therapeutic response shortened,799
human immunoglobulin g,poor venous access,798
omalizumab,product dose omission issue,798
teduglutide,drug ineffective,797
olaparib,death,795
icatibant acetate,headache,794
treprostinil,pain in jaw,792
idursulfase,blood pressure increased,790
teduglutide,gastrointestinal stoma output increased,789
infliximab,drug ineffective,787
dupilumab,weight decreased,786
teduglutide,insomnia,786
risankizumab-rzaa,fatigue,785
relugolix,hyperhidrosis,784
erenumab-aooe,device difficult to use,780
levetiracetam,seizure,780
omalizumab,cough,780
human immunoglobulin g,muscle spasms,779
human immunoglobulin g\hyaluronidase (human recombinant),pain,778
infliximab-dyyb,blood pressure increased,778
semaglutide,headache,778
teduglutide,injection site pain,778
human immunoglobulin g\hyaluronidase (human recombinant),weight decreased,776
copper,abnormal uterine bleeding,775
idursulfase,agitation,774
risankizumab-rzaa,diarrhoea,774
teduglutide,intestinal obstruction,774
icatibant acetate,product availability issue,773
semaglutide,dizziness,772
copper,emotional disorder,771
onabotulinumtoxina,drug ineffective,771
vedolizumab,viral infection,771
"antihemophilic factor, human recombinant",joint swelling,770
"antihemophilic factor, human recombinant",head injury,768
dulaglutide,diarrhoea,768
propranolol hydrochloride,off label use,768
tirzepatide,dehydration,767
teduglutide,needle issue,766
human immunoglobulin g\hyaluronidase (human recombinant),insurance issue,765
semaglutide,intestinal obstruction,765
teduglutide,urine output increased,765
human immunoglobulin g\hyaluronidase (human recombinant),product use issue,764
vedolizumab,gastrointestinal pain,764
secukinumab,pain,762
carbidopa\levodopa,death,761
treprostinil,hypoxia,761
semaglutide,fatigue,760
dupilumab,swelling,759
human immunoglobulin g,chest discomfort,759
pomalidomide,off label use,759
rituximab,drug ineffective,758
estradiol,device adhesion issue,757
human immunoglobulin g\hyaluronidase (human recombinant),illness,755
lenalidomide,pruritus,755
teduglutide,headache,754
dupilumab,injection site mass,752
human immunoglobulin g,product use in unapproved indication,752
infliximab-dyyb,weight increased,752
tirzepatide,impaired gastric emptying,751
teduglutide,pain in extremity,749
vedolizumab,abscess,749
treprostinil,incorrect dose administered,747
nirmatrelvir\ritonavir,covid-19,746
dupilumab,asthenia,745
palbociclib,off label use,745
lenvatinib,hypertension,744
human immunoglobulin g,hypersensitivity,743
dupilumab,product storage error,742
icatibant acetate,drug ineffective,742
icatibant acetate,fatigue,742
teduglutide,dyspnoea,742
tirzepatide,abdominal discomfort,742
human immunoglobulin g\hyaluronidase (human recombinant),influenza,741
teduglutide,infection,741
vedolizumab,injection site pain,740
dupilumab,eye pain,739
levetiracetam,off label use,739
mycophenolate mofetil,drug ineffective,739
vedolizumab,small intestinal obstruction,739
evolocumab,wrong technique in product usage process,738
velaglucerase alfa,weight decreased,738
somatropin,device use issue,737
treprostinil,illness,737
human immunoglobulin g,abdominal pain upper,736
venetoclax,neutropenia,736
budesonide\formoterol\glycopyrrolate,device use issue,735
lenalidomide,peripheral swelling,735
human immunoglobulin g,chest pain,734
